trans_id,account_id,date,type,operation,amount,balance,k_symbol,bank,account
581699,1979,930111,PRIJEM,VKLAD,900,900,,,
252645,866,930111,PRIJEM,VKLAD,12644,13144,,,
101386,346,930111,PRIJEM,VKLAD,800,800,,,
689828,2357,930112,PRIJEM,PREVOD Z UCTU,6434,7234,DUCHOD,OP,34144538
725752,2484,930112,PRIJEM,VKLAD,14779,15879,,,
565655,1926,930112,PRIJEM,VKLAD,4507,5207,,,
857974,2925,930112,PRIJEM,VKLAD,6446,7446,,,
560898,1909,930112,PRIJEM,VKLAD,800,800,,,
207265,704,930112,PRIJEM,VKLAD,17477,18477,,,
477639,1628,930112,PRIJEM,PREVOD Z UCTU,4276,4976,DUCHOD,UV,15916598
615542,2099,930112,PRIJEM,VKLAD,1100,1100,,,
439036,1493,930113,PRIJEM,PREVOD Z UCTU,5009,5209,DUCHOD,AB,54522466
1100759,3760,930113,PRIJEM,VKLAD,1000,1000,,,
480215,1637,930113,PRIJEM,PREVOD Z UCTU,5718,6218,DUCHOD,UV,45134812
1548749,5270,930113,PRIJEM,VKLAD,800,800,,,
505241,1726,930113,PRIJEM,VKLAD,13967,14967,,,
846007,2881,930113,PRIJEM,VKLAD,6959,7659,,,
1021121,3487,930113,PRIJEM,VKLAD,15914,16714,,,
2908689,9635,930114,PRIJEM,PREVOD Z UCTU,4470,4870,DUCHOD,CD,37906074
858384,2926,930114,PRIJEM,VKLAD,600,600,,,
498389,1699,930114,PRIJEM,VKLAD,800,800,,,
699221,2393,930114,PRIJEM,VKLAD,10737,11637,,,
1142758,3909,930114,PRIJEM,VKLAD,700,700,,,
1548750,5270,930114,PRIJEM,PREVOD Z UCTU,44749,45549,,IJ,80269753
506836,1731,930114,PRIJEM,VKLAD,200,200,,,
3393738,11265,930114,PRIJEM,VKLAD,1000,1000,,,
621775,2122,930115,PRIJEM,VKLAD,46552,46852,,,
737258,2519,930115,PRIJEM,VKLAD,500,500,,,
144549,485,930116,PRIJEM,VKLAD,13156,13456,,,
435762,1481,930117,PRIJEM,VKLAD,1000,1000,,,
1027726,3510,930117,PRIJEM,VKLAD,23323,23823,,,
3122924,10364,930117,PRIJEM,VKLAD,1100,1100,,,
1176385,4034,930118,PRIJEM,VKLAD,200,200,,,
119435,401,930118,PRIJEM,VKLAD,300,300,,,
1100767,3760,930118,PRIJEM,VKLAD,10792,11792,,,
682546,2330,930119,PRIJEM,VKLAD,200,200,,,
529772,1806,930119,PRIJEM,VKLAD,400,400,,,
1121963,3834,930119,PRIJEM,VKLAD,700,700,,,
359511,1222,930120,PRIJEM,VKLAD,700,700,,,
63712,212,930120,PRIJEM,VKLAD,200,200,,,
298978,1019,930121,PRIJEM,VKLAD,1100,1100,,,
136957,459,930121,PRIJEM,VKLAD,1000,1000,,,
135814,456,930121,PRIJEM,VKLAD,700,700,,,
226654,772,930121,PRIJEM,VKLAD,500,500,,,
3402664,11295,930121,PRIJEM,VKLAD,1100,1100,,,
695250,2378,930122,PRIJEM,VKLAD,7268,7968,,,
451890,1536,930122,PRIJEM,VKLAD,300,300,,,
785190,2676,930122,PRIJEM,VKLAD,200,200,,,
615548,2099,930122,PRIJEM,VKLAD,16125,17225,,,
871631,2970,930122,PRIJEM,VKLAD,400,400,,,
695266,2378,930123,PRIJEM,VKLAD,14440,22408,,,
347543,1179,930123,PRIJEM,VKLAD,700,700,,,
708081,2425,930123,PRIJEM,VKLAD,900,900,,,
83658,280,930123,PRIJEM,VKLAD,300,300,,,
695262,2378,930124,PRIJEM,VKLAD,49752,72160,,,
1183176,4055,930124,PRIJEM,VKLAD,200,200,,,
615547,2099,930124,PRIJEM,VKLAD,36518,53743,,,
1084396,3704,930124,PRIJEM,VKLAD,500,500,,,
2809952,9307,930124,PRIJEM,VKLAD,900,900,,,
1486053,5065,930124,PRIJEM,VKLAD,300,300,,,
1736607,5891,930125,PRIJEM,VKLAD,900,900,,,
142150,477,930125,PRIJEM,VKLAD,1000,1000,,,
292053,1000,930125,PRIJEM,VKLAD,200,200,,,
695265,2378,930126,PRIJEM,VKLAD,21899,94059,,,
144551,485,930126,PRIJEM,VKLAD,12336,25792,,,
511264,1750,930126,PRIJEM,VKLAD,1100,1100,,,
594014,2023,930126,PRIJEM,VKLAD,200,200,,,
484214,1649,930126,PRIJEM,VKLAD,700,700,,,
1910780,6473,930126,PRIJEM,VKLAD,1100,1100,,,
1910790,6473,930126,PRIJEM,VKLAD,19961,21061,,,
48640,163,930127,PRIJEM,VKLAD,900,900,,,
783290,2670,930127,PRIJEM,VKLAD,1100,1100,,,
752010,2566,930127,PRIJEM,VKLAD,800,800,,,
330659,1127,930127,PRIJEM,VKLAD,600,600,,,
2176,9,930127,PRIJEM,VKLAD,400,400,,,
336631,1144,930128,PRIJEM,VKLAD,200,200,,,
131922,443,930128,PRIJEM,VKLAD,500,500,,,
1256504,4296,930128,PRIJEM,VKLAD,200,200,,,
851325,2902,930128,PRIJEM,VKLAD,200,200,,,
393512,1338,930129,PRIJEM,VKLAD,38000,38400,,,
612405,2087,930129,PRIJEM,VKLAD,16983,17583,,,
1081327,3693,930129,PRIJEM,VKLAD,1000,1000,,,
608135,2070,930129,PRIJEM,VKLAD,300,300,,,
1190752,4078,930130,PRIJEM,VKLAD,300,300,,,
541681,1843,930130,PRIJEM,VKLAD,1000,1000,,,
796773,2714,930130,PRIJEM,VKLAD,800,800,,,
695560,2378,930131,VYDAJ,VYBER,34700,59453.7,,,
3591421,1844,930131,PRIJEM,,12.6,3754.6,UROK,,
3617490,2632,930131,PRIJEM,,47.5,15411.5,UROK,,
3579543,1493,930131,PRIJEM,,13.3,5222.3,UROK,,
3558798,866,930131,PRIJEM,,37.1,13181.1,UROK,,
3453599,6473,930131,PRIJEM,,17,21078,UROK,,
3513134,9635,930131,PRIJEM,,11.1,4892.9,UROK,,
3574567,1338,930131,PRIJEM,,15.5,38415.5,UROK,,
3654666,3760,930131,PRIJEM,,22.2,11814.2,UROK,,
3656579,3818,930131,PRIJEM,,55.8,18021.8,UROK,,
3456844,9635,930131,PRIJEM,,11.8,4881.8,UROK,,
3553661,704,930131,PRIJEM,,50.1,18527.1,UROK,,
3552056,652,930131,PRIJEM,,45,14596,UROK,,
3583848,1628,930131,PRIJEM,,13.4,4989.4,UROK,,
3584201,1637,930131,PRIJEM,,15.9,6233.9,UROK,,
3586191,1695,930131,PRIJEM,,38.8,12070.8,UROK,,
3587145,1726,930131,PRIJEM,,38.2,15005.2,UROK,,
3549613,576,930131,PRIJEM,,20.1,7127.1,UROK,,
3546683,485,930131,PRIJEM,,38.9,25830.9,UROK,,
3599467,2087,930131,PRIJEM,,7.1,17590.1,UROK,,
3600403,2122,930131,PRIJEM,,107.1,46959.1,UROK,,
3466049,3510,930131,PRIJEM,,48,23871,UROK,,
3444292,2099,930131,PRIJEM,,62.4,53805.4,UROK,,
207642,704,930131,PRIJEM,VKLAD,2900,21427.1,,,
3602138,2177,930131,PRIJEM,,21.5,5944.5,UROK,,
3595783,1972,930131,PRIJEM,,19.1,5717.1,UROK,,
3594124,1926,930131,PRIJEM,,14,5221,UROK,,
3648651,3592,930131,PRIJEM,,19.5,6626.5,UROK,,
3645341,3487,930131,PRIJEM,,42.7,16756.7,UROK,,
3556397,793,930131,PRIJEM,,15.2,4216.2,UROK,,
2809959,9307,930131,PRIJEM,VKLAD,5282,6182,,,
3608592,2378,930131,PRIJEM,,94.7,94153.7,UROK,,
3607855,2357,930131,PRIJEM,,19.4,7253.4,UROK,,
3609127,2393,930131,PRIJEM,,28.2,11665.1,UROK,,
3612139,2484,930131,PRIJEM,,42.7,15921.7,UROK,,
3669814,5270,930131,PRIJEM,,110.2,45659.2,UROK,,
3479816,9307,930131,PRIJEM,,0.8,6182.8,UROK,,
3572388,1276,930131,PRIJEM,,23.1,7197.1,UROK,,
3627125,2925,930131,PRIJEM,,20,7466,UROK,,
3625747,2881,930131,PRIJEM,,19.6,7678.6,UROK,,
1117691,3818,930131,PRIJEM,VKLAD,2000,20021.8,,,
771484,2632,930201,PRIJEM,VKLAD,5100,20511.5,,,
490777,1675,930201,PRIJEM,VKLAD,1100,1100,,,
1730428,5868,930202,PRIJEM,VKLAD,200,200,,,
453138,1539,930202,PRIJEM,VKLAD,11900,12500,,,
754232,2574,930202,PRIJEM,VKLAD,1100,1100,,,
726266,2484,930202,PRIJEM,VKLAD,5500,21421.7,,,
497553,1695,930202,PRIJEM,VKLAD,7500,19570.8,,,
529229,1805,930202,PRIJEM,VKLAD,1100,1100,,,
882361,3007,930202,PRIJEM,VKLAD,800,800,,,
505750,1726,930202,PRIJEM,VKLAD,6000,21005.2,,,
251233,862,930202,PRIJEM,VKLAD,200,200,,,
711848,2434,930202,PRIJEM,VKLAD,600,600,,,
145127,485,930203,VYDAJ,VYBER,25300,46177.9,,,
144544,485,930203,PRIJEM,VKLAD,45647,71477.9,,,
332444,1132,930203,PRIJEM,VKLAD,1000,1000,,,
1313152,4484,930203,PRIJEM,VKLAD,700,700,,,
1028980,3514,930203,PRIJEM,VKLAD,600,600,,,
275306,943,930203,PRIJEM,VKLAD,800,800,,,
846309,2881,930203,PRIJEM,VKLAD,7000,14678.5,,,
138712,465,930204,PRIJEM,VKLAD,700,700,,,
1163520,3983,930204,PRIJEM,VKLAD,900,900,,,
2797771,9265,930204,PRIJEM,VKLAD,300,300,,,
192366,652,930204,PRIJEM,VKLAD,2900,17496,,,
695272,2378,930205,PRIJEM,VKLAD,30192,89645.7,,,
783292,2670,930205,PRIJEM,VKLAD,24381,25481,,,
122242,411,930205,PRIJEM,VKLAD,400,400,,,
637743,2177,930205,PRIJEM,PREVOD Z UCTU,5123,11067.5,DUCHOD,YZ,62457513
330661,1127,930205,PRIJEM,VKLAD,23330,23930,,,
259747,890,930205,PRIJEM,VKLAD,700,700,,,
566013,1926,930205,PRIJEM,VKLAD,8500,13721,,,
560900,1909,930205,PRIJEM,PREVOD Z UCTU,3191,3991,,AB,24230474
110536,374,930205,PRIJEM,PREVOD Z UCTU,23041,23441,,WX,4004806
498391,1699,930205,PRIJEM,PREVOD Z UCTU,5224,6024,DUCHOD,CD,94008880
529774,1806,930205,PRIJEM,PREVOD Z UCTU,5029,5429,DUCHOD,UV,39912659
224344,764,930205,PRIJEM,PREVOD Z UCTU,6238,7338,DUCHOD,UV,30560720
232962,793,930205,PRIJEM,PREVOD Z UCTU,3401,7617.2,,IJ,6149286
286072,982,930205,PRIJEM,VKLAD,900,900,,,
851327,2902,930205,PRIJEM,VKLAD,20213,20413,,,
3393740,11265,930205,PRIJEM,VKLAD,7618,8618,,,
101388,346,930205,PRIJEM,VKLAD,19935,20735,,,
184681,627,930205,PRIJEM,VKLAD,600,600,,,
336633,1144,930206,PRIJEM,PREVOD Z UCTU,3375,3575,,GH,1589578
119437,401,930206,PRIJEM,VKLAD,12817,13117,,,
1157039,3960,930206,PRIJEM,VKLAD,500,500,,,
1100775,3760,930206,PRIJEM,VKLAD,38645,50459.2,,,
1028004,3510,930206,VYDAJ,VYBER,1600,22271,,,
375032,1276,930206,PRIJEM,VKLAD,10600,17797.1,,,
57435,192,930206,PRIJEM,PREVOD Z UCTU,5859,6159,DUCHOD,GH,15384018
699588,2393,930206,PRIJEM,VKLAD,5500,17165.2,,,
660834,2256,930206,PRIJEM,VKLAD,700,700,,,
275308,943,930206,PRIJEM,PREVOD Z UCTU,3217,4017,,OP,70103525
1163522,3983,930206,PRIJEM,VKLAD,14626,15526,,,
286074,982,930206,PRIJEM,VKLAD,4550,5450,,,
1132664,3871,930206,PRIJEM,PREVOD Z UCTU,4356,4656,DUCHOD,GH,31564527
506452,1730,930206,PRIJEM,PREVOD Z UCTU,6689,7589,DUCHOD,ST,43294817
710066,2429,930206,PRIJEM,VKLAD,600,600,,,
695340,2378,930207,VYDAJ,PREVOD NA UCET,9612,80033.7,SIPO,EF,1222903
1176387,4034,930207,PRIJEM,VKLAD,5080,5280,,,
129504,435,930207,PRIJEM,PREVOD Z UCTU,5039,5439,DUCHOD,MN,22131634
138714,465,930207,PRIJEM,PREVOD Z UCTU,12785,13485,,UV,71654224
347545,1179,930207,PRIJEM,PREVOD Z UCTU,4212,4912,DUCHOD,WX,72322171
541683,1843,930207,PRIJEM,PREVOD Z UCTU,17632,18632,,QR,76294219
542217,1844,930207,PRIJEM,PREVOD Z UCTU,3242,6996.6,,ST,42988401
682548,2330,930207,PRIJEM,PREVOD Z UCTU,3395,3595,,ST,18759459
2442343,8051,930207,PRIJEM,VKLAD,200,200,,,
1028982,3514,930207,PRIJEM,PREVOD Z UCTU,3399,3999,,GH,67514222
579375,1972,930207,PRIJEM,PREVOD Z UCTU,5298,11015.1,DUCHOD,UV,14132887
3122926,10364,930207,PRIJEM,VKLAD,14493,15593,,,
615550,2099,930207,PRIJEM,VKLAD,28157,81962.4,,,
612713,2087,930207,PRIJEM,VKLAD,1800,19390.1,,,
292055,1000,930207,PRIJEM,PREVOD Z UCTU,31348,31548,,ST,87163465
737260,2519,930207,PRIJEM,PREVOD Z UCTU,5544,6044,DUCHOD,GH,5454445
622121,2122,930207,VYDAJ,VYBER,14100,32859.1,,,
1486060,5065,930207,PRIJEM,VKLAD,33045,33345,,,
1021463,3487,930207,PRIJEM,VKLAD,1800,18556.7,,,
655272,2241,930208,PRIJEM,VKLAD,200,200,,,
2349697,7753,930208,PRIJEM,VKLAD,600,600,,,
242366,830,930208,PRIJEM,VKLAD,200,200,,,
144559,485,930208,PRIJEM,VKLAD,20066,66243.9,,,
775968,2647,930208,PRIJEM,VKLAD,400,400,,,
537875,1830,930208,PRIJEM,VKLAD,1000,1000,,,
1238919,4240,930208,PRIJEM,PREVOD Z UCTU,27666,27666,,EF,17497700
1238917,4240,930208,PRIJEM,VKLAD,500,28166,,,
576752,1965,930208,PRIJEM,VKLAD,600,600,,,
1657153,5622,930208,PRIJEM,VKLAD,700,700,,,
434652,1477,930208,PRIJEM,VKLAD,700,3851,,,
434654,1477,930208,PRIJEM,PREVOD Z UCTU,3151,3151,,KL,92373114
294480,1006,930208,PRIJEM,VKLAD,1000,1000,,,
374591,1276,930208,PRIJEM,VKLAD,6774,24571.1,,,
73509,244,930208,PRIJEM,VKLAD,800,800,,,
110785,374,930208,VYDAJ,VYBER,1500,21941,,,
882363,3007,930208,PRIJEM,VKLAD,22452,23252,,,
2775579,9188,930208,PRIJEM,VKLAD,800,800,,,
846793,2884,930208,PRIJEM,VKLAD,1100,1100,,,
251235,862,930208,PRIJEM,PREVOD Z UCTU,44333,44533,,YZ,2834439
3402666,11295,930208,PRIJEM,VKLAD,18347,19447,,,
696164,2379,930209,PRIJEM,VKLAD,13900,14700,,,
298980,1019,930209,PRIJEM,VKLAD,19746,20846,,,
333296,1134,930209,PRIJEM,VKLAD,400,400,,,
332446,1132,930209,PRIJEM,PREVOD Z UCTU,48098,49098,,ST,32223415
259749,890,930209,PRIJEM,VKLAD,7041,7741,,,
858265,2925,930209,PRIJEM,VKLAD,9100,16566,,,
858386,2926,930209,PRIJEM,VKLAD,10584,11184,,,
63714,212,930209,PRIJEM,PREVOD Z UCTU,49590,49790,,IJ,58325630
581701,1979,930209,PRIJEM,PREVOD Z UCTU,3021,3921,,UV,38265723
469891,1601,930209,PRIJEM,VKLAD,500,500,,,
771037,2632,930209,PRIJEM,VKLAD,14264,34775.5,,,
1084398,3704,930209,PRIJEM,PREVOD Z UCTU,6242,6742,DUCHOD,AB,11927444
253162,866,930209,PRIJEM,VKLAD,5400,18581.1,,,
192098,652,930209,PRIJEM,VKLAD,13851,31347,,,
1117249,3818,930209,PRIJEM,VKLAD,17366,37387.8,,,
695722,2379,930210,PRIJEM,VKLAD,5072,19772,,,
649665,2220,930210,PRIJEM,VKLAD,1100,1100,,,
237649,813,930210,PRIJEM,VKLAD,1100,1100,,,
135816,456,930210,PRIJEM,PREVOD Z UCTU,47831,48531,,AB,95670407
775970,2647,930210,PRIJEM,VKLAD,12015,12415,,,
393999,1338,930210,VYDAJ,VYBER,5200,33215.5,,,
708083,2425,930210,PRIJEM,VKLAD,8905,9805,,,
594016,2023,930210,PRIJEM,VKLAD,23524,23724,,,
1049883,3592,930210,PRIJEM,PREVOD Z UCTU,6007,12633.5,DUCHOD,MN,73166322
757953,2585,930210,PRIJEM,VKLAD,1000,1000,,,
840171,2861,930210,PRIJEM,VKLAD,300,300,,,
101684,346,930210,PRIJEM,VKLAD,1200,21935,,,
695270,2378,930211,PRIJEM,VKLAD,31038,111071.7,,,
695561,2378,930211,VYDAJ,VYBER,25200,85871.7,,,
452734,1539,930211,PRIJEM,VKLAD,43737,56237,,,
237651,813,930211,PRIJEM,PREVOD Z UCTU,12154,13254,,QR,19537103
1190754,4078,930211,PRIJEM,VKLAD,23736,24036,,,
511266,1750,930211,PRIJEM,VKLAD,24863,25963,,,
685663,2342,930211,PRIJEM,VKLAD,400,400,,,
810831,2763,930211,PRIJEM,VKLAD,200,200,,,
171814,576,930211,PRIJEM,PREVOD Z UCTU,6207,13334.1,DUCHOD,YZ,30300313
615783,2099,930211,VYDAJ,VYBER,29700,52262.4,,,
612412,2087,930211,PRIJEM,VKLAD,14622,34012.1,,,
506838,1731,930211,PRIJEM,PREVOD Z UCTU,4758,4958,DUCHOD,GH,89825009
846795,2884,930211,PRIJEM,VKLAD,5810,6910,,,
252646,866,930211,PRIJEM,VKLAD,12644,31225.1,,,
184683,627,930211,PRIJEM,VKLAD,22349,22949,,,
2349709,7753,930212,PRIJEM,VKLAD,19588,20188,,,
2349705,7753,930212,PRIJEM,VKLAD,27078,47266,,,
1736609,5891,930212,PRIJEM,PREVOD Z UCTU,32594,33494,,CD,51054984
451892,1536,930212,PRIJEM,PREVOD Z UCTU,25609,25909,,QR,51120805
1183178,4055,930212,PRIJEM,VKLAD,20281,20481,,,
571256,1944,930212,PRIJEM,VKLAD,700,700,,,
577274,1966,930212,PRIJEM,VKLAD,900,900,,,
359513,1222,930212,PRIJEM,PREVOD Z UCTU,6310,7010,DUCHOD,KL,77489798
754234,2574,930212,PRIJEM,VKLAD,14319,15419,,,
1101121,3760,930212,VYDAJ,VYBER,14400,36059.2,,,
689829,2357,930212,PRIJEM,PREVOD Z UCTU,6434,13687.4,DUCHOD,OP,34144538
725753,2484,930212,PRIJEM,VKLAD,14779,36200.7,,,
565656,1926,930212,PRIJEM,VKLAD,4507,18228,,,
857975,2925,930212,PRIJEM,VKLAD,6446,23012,,,
207266,704,930212,PRIJEM,VKLAD,17477,38904.1,,,
477640,1628,930212,PRIJEM,PREVOD Z UCTU,4276,9265.4,DUCHOD,UV,15916598
1549098,5270,930212,VYDAJ,VYBER,9600,36059.2,,,
1121965,3834,930212,PRIJEM,VKLAD,13875,14575,,,
83660,280,930212,PRIJEM,VKLAD,12043,12343,,,
711850,2434,930212,PRIJEM,VKLAD,4391,4991,,,
490779,1675,930212,PRIJEM,PREVOD Z UCTU,4327,5427,DUCHOD,AB,50350195
48642,163,930213,PRIJEM,PREVOD Z UCTU,6698,7598,DUCHOD,YZ,76209622
142152,477,930213,PRIJEM,VKLAD,16392,17392,,,
671437,2293,930213,PRIJEM,VKLAD,700,700,,,
785192,2676,930213,PRIJEM,VKLAD,15263,15463,,,
745022,2543,930213,PRIJEM,VKLAD,1100,1100,,,
1256506,4296,930213,PRIJEM,VKLAD,18729,18929,,,
439037,1493,930213,PRIJEM,PREVOD Z UCTU,5009,10231.3,DUCHOD,AB,54522466
435764,1481,930213,PRIJEM,PREVOD Z UCTU,3098,4098,,AB,21098941
858901,2926,930213,PRIJEM,VKLAD,9000,20184,,,
660836,2256,930213,PRIJEM,PREVOD Z UCTU,4729,5429,DUCHOD,AB,59773492
480216,1637,930213,PRIJEM,PREVOD Z UCTU,5718,11951.9,DUCHOD,UV,45134812
527445,1801,930213,PRIJEM,VKLAD,700,700,,,
1143204,3909,930213,VYDAJ,VYBER,500,24600,,,
1142760,3909,930213,PRIJEM,VKLAD,24400,25100,,,
871633,2970,930213,PRIJEM,VKLAD,9658,10058,,,
757955,2585,930213,PRIJEM,VKLAD,14963,15963,,,
505242,1726,930213,PRIJEM,VKLAD,13967,34972.2,,,
846008,2881,930213,PRIJEM,VKLAD,6959,21637.5,,,
1021122,3487,930213,PRIJEM,VKLAD,15914,34470.7,,,
3394148,11265,930213,PRIJEM,VKLAD,9800,18418,,,
131924,443,930214,PRIJEM,PREVOD Z UCTU,3058,3558,,ST,29172384
3314624,11013,930214,PRIJEM,VKLAD,600,600,,,
122244,411,930214,PRIJEM,VKLAD,18497,18897,,,
577276,1966,930214,PRIJEM,VKLAD,20567,21467,,,
745024,2543,930214,PRIJEM,PREVOD Z UCTU,6148,7248,DUCHOD,CD,4203528
2908690,9635,930214,PRIJEM,PREVOD Z UCTU,4470,9362.9,DUCHOD,CD,37906074
707245,2423,930214,PRIJEM,VKLAD,400,400,,,
699222,2393,930214,PRIJEM,VKLAD,10737,27902.2,,,
1081329,3693,930214,PRIJEM,VKLAD,15447,16447,,,
226656,772,930214,PRIJEM,VKLAD,24009,24509,,,
1548751,5270,930214,PRIJEM,PREVOD Z UCTU,44749,80808.2,,IJ,80269753
608137,2070,930214,PRIJEM,VKLAD,12138,12438,,,
42520,142,930215,PRIJEM,VKLAD,900,900,,,
2190,9,930215,PRIJEM,VKLAD,800,1200,,,
1002957,3424,930216,PRIJEM,VKLAD,900,900,,,
3123297,10364,930216,PRIJEM,VKLAD,4200,19793,,,
160593,539,930216,PRIJEM,VKLAD,700,700,,,
1039105,3554,930216,PRIJEM,VKLAD,1100,1100,,,
285072,979,930216,PRIJEM,VKLAD,1000,1000,,,
796787,2714,930216,PRIJEM,VKLAD,1300,2100,,,
1176616,4034,930217,PRIJEM,VKLAD,8000,13280,,,
119791,401,930217,PRIJEM,VKLAD,6000,19117,,,
1313154,4484,930217,PRIJEM,VKLAD,29511,30211,,,
989731,3374,930217,PRIJEM,VKLAD,200,200,,,
1036263,3545,930217,PRIJEM,VKLAD,900,900,,,
893645,3047,930217,PRIJEM,VKLAD,600,600,,,
29107,96,930218,PRIJEM,VKLAD,1100,1100,,,
1002960,3424,930218,PRIJEM,VKLAD,44162,45062,,,
137463,461,930218,PRIJEM,VKLAD,600,600,,,
1657169,5622,930218,PRIJEM,VKLAD,24023,24723,,,
1039191,3554,930218,PRIJEM,VKLAD,900,2000,,,
887174,3026,930218,PRIJEM,VKLAD,400,400,,,
1050254,3593,930218,PRIJEM,VKLAD,200,200,,,
1122555,3834,930218,PRIJEM,VKLAD,6600,21175,,,
39477,128,930219,PRIJEM,VKLAD,300,300,,,
1108941,3787,930219,PRIJEM,VKLAD,800,800,,,
1657174,5622,930219,PRIJEM,VKLAD,33410,58133,,,
64021,212,930219,VYDAJ,VYBER,14800,34990,,,
1080837,3691,930219,PRIJEM,VKLAD,400,400,,,
309324,1054,930219,PRIJEM,VKLAD,800,800,,,
711470,2433,930219,PRIJEM,VKLAD,500,500,,,
695251,2378,930220,PRIJEM,VKLAD,19136,105007.7,,,
695562,2378,930220,VYDAJ,VYBER,33900,71107.7,,,
299430,1019,930220,PRIJEM,VKLAD,4100,24946,,,
136148,456,930220,VYDAJ,VYBER,10500,38031,,,
137124,459,930220,PRIJEM,VKLAD,13400,14400,,,
227105,772,930220,VYDAJ,VYBER,600,23909,,,
1450014,4937,930220,PRIJEM,VKLAD,700,700,,,
622627,2124,930220,PRIJEM,VKLAD,500,500,,,
3403038,11295,930220,PRIJEM,VKLAD,3700,23147,,,
94644,322,930220,PRIJEM,VKLAD,1000,1000,,,
929608,3168,930220,PRIJEM,VKLAD,1000,1000,,,
452238,1536,930221,PRIJEM,VKLAD,100,26009,,,
785632,2676,930221,PRIJEM,VKLAD,3300,18763,,,
1273262,4355,930221,PRIJEM,VKLAD,800,800,,,
871809,2970,930221,PRIJEM,VKLAD,9400,19458,,,
1039106,3554,930221,PRIJEM,VKLAD,45925,47925,,,
1313153,4484,930222,PRIJEM,VKLAD,41740,71951,,,
700133,2396,930222,PRIJEM,VKLAD,500,500,,,
84101,280,930222,PRIJEM,VKLAD,6200,18543,,,
708372,2425,930222,PRIJEM,VKLAD,8000,17805,,,
491813,1678,930222,PRIJEM,VKLAD,200,200,,,
269812,925,930223,PRIJEM,VKLAD,500,500,,,
1183399,4055,930223,PRIJEM,VKLAD,3100,23581,,,
293959,1005,930223,PRIJEM,VKLAD,300,300,,,
1313160,4484,930223,PRIJEM,VKLAD,31332,103283,,,
1313408,4484,930223,VYDAJ,VYBER,62100,41183,,,
618167,2110,930223,PRIJEM,VKLAD,600,600,,,
